上链数组
[0,1,2,3,4,5,6,7,8,9]
[15000,30000,10000,30000,30000,10000,10000,10000,10000,10000]
"0x00"


token_id,数量, 类别,产品名,合约地址,ipfs
0, 15000, 创世卡,创世卡-圈圈通证, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmbVdNg8qiTrDxFeHtVjBSWgFMZRMPgqHFEvyX1PUHB6jj?filename=0-VIP.jpg, 
1, 30000, 礼品卡,礼品卡-红圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmQ1rbdGdbDcN1HFsZNEsTQTb77XBfatcYyZx1z81xS4cR?filename=1-Red.gif
2, 10000, 数字藏品,橙圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmWu27swPzCVdyqhiAawbrBmFL5eVWj1FbEFQ5CUmHsUBS?filename=2-Orange.gif  
3, 30000, 礼品卡,礼品卡-黄圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmUvvHiQQo4zBdjtPeXtBJLMSxsmMuTU7DBr75F72mXr7V?filename=3-Yellow.gif
4, 30000, 礼品卡,礼品卡-绿圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmXifiof17sP2LQ6Fj5mBT3XnsReH1M5AhfJKxPe6nMvGz?filename=4-Green.gif
5, 10000, 数字藏品,青圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmZB4RqBEFAiU6x2t7LF43sycbrMkQhLNGRoCc487TDKpP?filename=5-Cyan.gif
6, 10000, 数字藏品,蓝圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/Qmc54fc2szMAu1ShoAecEkELKRAvGcY4cVuW9LK81wGvDW?filename=6-Blue.gif
7, 10000, 数字藏品,紫圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmVa7fJH3WAMSB63pgZ1dRfPqUxzKNGYTC3w56VBGjYDmn?filename=7-Purple.gif
6, 10000, 数字藏品,三原色圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmZ5ekkgTvdkCAHn7giGwkc2ZV4XyXmvZXwzNbTJzxfDco?filename=8-ThreeColor.gif
7, 10000, 数字藏品,七色圈圈, 0x5a3a736952787501bef89861dcac49d9e2b31bca, https://ipfs.io/ipfs/QmVLJW1H4ozQaNAKpWmyvwzkEcwKEBg7L296TY3AkWzr8n?filename=9-SevenColor.gif
